Domain,Temperature,MAE,RMSE,Pearson,Spearman,HelixContentError
1bh3A00,320,0.0495863479081472,0.0888070722052317,0.4547816287202693,0.4149902395334413,0.040004718464926
1bh3A00,348,0.0689180634820773,0.0979136102570526,0.398371556422731,0.4568017517496683,0.0559333473139701
1bh3A00,379,0.0830744273831905,0.1029288424301084,0.4187980293866777,0.4480953481511783,0.0761297980204393
1bh3A00,413,0.1048178818847524,0.1238497860648014,0.3225184525411717,0.3744846624674171,0.098928652421048
1bh3A00,450,0.0962122610184894,0.1140886908670974,0.3735574632058173,0.5973350157502216,0.0925296913774422
1bo7A00,320,0.1108951079829796,0.1741710143317176,0.9257416524001726,0.8882977485870993,0.0281037412690342
1bo7A00,348,0.1211435558112773,0.1839387005903078,0.9180461668195352,0.8653780284840127,0.0374640391254315
1bo7A00,379,0.155220080552359,0.2339820333467338,0.8579095902838318,0.8601043146659786,0.0664887802071346
1bo7A00,413,0.1545023014959724,0.2211527712392543,0.8137535064005248,0.8273227872617,0.0504833141542002
1bo7A00,450,0.102912830840046,0.1432605748111432,0.8375172066910206,0.8183540763871819,0.0003265247410816
1c30A08,320,0.0817108309371083,0.1363996990279911,0.9461627984688824,0.9523692522893656,0.0067729853277298
1c30A08,348,0.0966186272845583,0.1393323066270811,0.9450509923747762,0.9342561585479044,0.0114635319413795
1c30A08,379,0.0863740322937403,0.1214675448498986,0.9236249998332868,0.9355443384619756,0.0214723143847231
1c30A08,413,0.1089515593895155,0.1349624427458296,0.9033985331721444,0.9032608319920904,0.0327405441274054
1c30A08,450,0.1075966231659662,0.1269919784937632,0.8820582188809001,0.8657716881010228,0.0811583720415837
1c3gA01,320,0.0491132252760159,0.1374194968704185,0.8127262394151676,0.5319075780212799,0.032938056775266
1c3gA01,348,0.0472430717430717,0.1007075445244589,0.8851319691036531,0.4946272574255159,0.0204492359492359
1c3gA01,379,0.0587104377104377,0.112682305665082,0.8670763978221336,0.5378464527878809,0.0224141414141414
1c3gA01,413,0.0822716912716912,0.1089043794262396,0.8880186370594215,0.6476958673653093,0.065065786065786
1c3gA01,450,0.0823997668997669,0.0988823963871665,0.8330150737116931,0.7194534754539815,0.0820464905464905
1c5eA00,320,0.0407447102604997,0.1011878912529145,0.8784420724289427,0.5017374023060215,0.0361856459330143
1c5eA00,348,0.0525296119085592,0.118465050314882,0.8414100717537287,0.4913804007692156,0.0494540138224348
1c5eA00,379,0.0739432216905901,0.1190781880287864,0.7788703373180809,0.3702119896074289,0.0571461988304093
1c5eA00,413,0.0849544922913344,0.1088686105075847,0.7610178965632444,0.722120774632902,0.0733617224880383
1c5eA00,450,0.0894688995215311,0.1117688166599049,0.6787729829283502,0.7998679511790758,0.0885311004784689
1c5kA02,320,0.0201503759398496,0.0757915622101539,,,0.0201503759398496
1c5kA02,348,0.0223174603174603,0.0621855662405568,0.1313546780926876,0.2352740973589751,0.0223174603174603
1c5kA02,379,0.0335888205361889,0.0739575593741777,0.1669921097567488,0.2635315800665275,0.0335888205361889
1c5kA02,413,0.0726765398344345,0.0976749886132799,0.0890759633195764,0.1541364566215733,0.0726731981468823
1c5kA02,450,0.0967088174982911,0.1192915717487522,0.1684382135576534,0.3120849997815164,0.0967088174982911
1c7sA02,320,0.0736294440467669,0.1448825047674416,0.9315751077820692,0.8159960995756129,0.0377644953471724
1c7sA02,348,0.0808027519287361,0.1466148309094888,0.927757625020818,0.7942467205096458,0.0260932951562872
