Domain,Temperature,MAE,RMSE,Pearson,Spearman,HelixContentError
1b4rA00,379,0.0203540404040404,0.0390855696115849,0.4114769395233317,0.4734698664374097,0.020320707070707
1b4rA00,413,0.0536786616161616,0.07420179697328,0.3047990014645573,0.3395955547376116,0.0536786616161616
1b4rA00,450,0.0566733093126385,0.0774784409019569,0.4905251188772769,0.6477799534749343,0.0545256805863513
1b97A00,320,0.1009927554230833,0.159466643557053,0.93076451921229,0.8553320333476392,0.0150040983606557
1b97A00,348,0.0901191836396754,0.1378144858343993,0.94086329666254,0.8947991643236088,0.0059131892697466
1b97A00,379,0.0981196330991412,0.1455213790574367,0.920833755866734,0.8962253626507672,0.0023008480590447
1b97A00,413,0.0789772965272765,0.1071329413451815,0.9385057657563536,0.8659086384982807,0.0340295699901857
1b97A00,450,0.0828385494287133,0.1094890122370702,0.9019415414567896,0.8891564984910628,0.0608051829773141
1b9nA03,320,0.0618823445724854,0.1187246293851199,0.6734181313423402,0.7167267479476767,0.0514703371745625
1b9nA03,348,0.0500036989614454,0.0930382210752141,0.7845108794928797,0.7482329398292685,0.0437615592545169
1b9nA03,379,0.0694340588988476,0.0986930567321679,0.8037809944417962,0.6294629510721166,0.0659891876511594
1b9nA03,413,0.0620254659268743,0.0858340715758771,0.7538864451215043,0.6731669643520442,0.0588767961303172
1b9nA03,450,0.0839248826291079,0.1063191914693676,0.7861214923961666,0.7846586034115447,0.0837370892018779
1beoA00,320,0.1267619047619048,0.1644491082258311,0.9305367701838108,0.889221666820813,0.0282131519274376
1beoA00,348,0.1578929388459005,0.2032536379932228,0.8934199274722849,0.8327961685745945,0.0575462112413332
1beoA00,379,0.1222480931766646,0.1553763758907433,0.9239375741057432,0.9009837989810446,0.0424562976705834
1beoA00,413,0.0821367927015767,0.1046578946756117,0.8967142158041159,0.9014373321877184,0.0336739967304751
1beoA00,450,0.1751785198928055,0.2103247006839973,0.7911230582870958,0.8010715033006256,0.1749029066171923
1bgqA00,320,0.1940299726234305,0.2891889426798875,0.6823797761452911,0.7772295719044765,0.0233046823373925
1bgqA00,348,0.1780784809626366,0.2566778644621842,0.739657266425608,0.8028378225809377,0.0272712453814388
1bgqA00,379,0.1484998583970546,0.2301742603371202,0.7543224266797689,0.8211010076504787,0.0242885868026054
1bgqA00,413,0.1413504258449551,0.2039097209506832,0.7367722585195309,0.8114033221132343,0.0168744948919327
1bgqA00,450,0.1110577740016992,0.1507072228763788,0.7057644712920486,0.8499205729152668,0.0376338147833474
1bkcE00,320,0.0807114504419192,0.1374981117854021,0.9440533949482518,0.8587088926384413,0.0144696575126262
1bkcE00,348,0.1002566682449495,0.1447819535560041,0.9511842061171176,0.8755388195112046,7.86379419191463e-05
1bkcE00,379,0.1206323784722222,0.1788409664371148,0.9006324512285551,0.8625016609784002,0.0161985085227272
1bkcE00,413,0.1186385732323232,0.1695555283826868,0.8790420042778904,0.8528337109953505,0.0097135416666666
1bkcE00,450,0.0629923453282828,0.0872363001731574,0.9100892611377838,0.8759945046910738,0.0377516571969697
1c3gA01,320,0.0367718457253341,0.1069444240306628,0.8826480931472991,0.5765355203116759,0.0249893388265481
1c3gA01,348,0.0433969178969178,0.1089819371235388,0.8685452008492606,0.5140715465547909,0.0263466718466718
1c3gA01,379,0.0578199948199948,0.1172233837338722,0.8440884181341839,0.5759227136972191,0.0249782439782439
1c3gA01,413,0.0545024605024605,0.0959994019457187,0.8817232346972891,0.7052495447701559,0.0335273245273245
1c3gA01,450,0.0464272209272209,0.0633376455924733,0.9187031576391396,0.4421889103217901,0.043584952084952
1c5eA00,320,0.1131657628920786,0.1477464582242742,0.7374827832027888,0.4541930502281791,0.0833435406698564
1c5eA00,348,0.1217253588516746,0.1611875883575574,0.6190957035769893,0.4531782261128299,0.084190855927698
1c5eA00,379,0.1166407230196703,0.1433410545741169,0.7076634517873525,0.3693141877364088,0.083672514619883
1c5eA00,413,0.1143784157363104,0.1346770018291484,0.5086046744785486,0.5425352777150697,0.0849406698564593
1c5eA00,450,0.1167511961722487,0.1371271210407477,0.7433806634577137,0.6809049685942854,0.1165311004784689
1c8jA00,320,0.2454038837992326,0.3264262359822009,0.825726072802548,0.8478942054354731,0.1437687207997284
1c8jA00,348,0.2458498681909534,0.3291018900619437,0.8144777841580707,0.8083209355675709,0.1496074439485291
1c8jA00,379,0.2808992509070028,0.374491939372139,0.7525676082015372,0.7686169384280502,0.1843113564586432
1c8jA00,413,0.2785342312008979,0.3737137147848661,0.7255702822078659,0.7533965897064662,0.1840561167227834
1c8jA00,450,0.2017110255999145,0.2947723440853178,0.719066614230312,0.741129719143107,0.1291406659184437
1ceeB00,320,0.0895300462249614,0.1332214900131233,0.9094278225578358,0.5882691925887996,0.0546918335901386
1ceeB00,348,0.108365617433414,0.1401549300402035,0.9168983104590872,0.7326237214814956,0.0966501577518526
1ceeB00,379,0.0860400616332819,0.1078215505492846,0.9453070443423558,0.7641172359160731,0.0815716486902928
1ceeB00,413,0.139668721109399,0.1760165579923981,0.8702733873670556,0.7186418499028477,0.1391602465331279
1ceeB00,450,0.1186055469953775,0.1592187577860369,0.8855255627180281,0.7315763002850775,0.1176964560862866
1ceuA00,320,0.1250534759358288,0.1722135737666077,0.8059523282884706,0.8569432226806007,0.0194385026737968
